sym_nr,pis,ko,psl,konf,lew,bs,inni
177,36.521,28.838,9.932,11.546,10.19,2.305,0.668
178,36.055,29.244,10.364,10.448,9.938,3.135,0.817
179,36.957,28.807,8.513,11.486,11.01,2.511,0.717
180,38.218,28.991,9.688,10.363,9.813,2.264,0.663
181,37.729,29.424,8.464,11.146,9.898,2.481,0.859
182,38.537,27.92,11.567,10.119,8.689,2.17,0.998
183,38.788,28.331,10.418,11.181,9.242,1.947,0.093
184,36.292,31.169,9.693,10.284,9.995,1.793,0.774
185,36.401,29.355,10.22,10.923,9.814,2.26,1.027
186,35.065,32.449,7.914,11.81,9.737,2.626,0.399
187,37.996,28.754,8.741,10.777,10.538,3.105,0.089
188,38.487,27.609,11.398,10.135,8.809,2.588,0.973
189,36.866,30.786,9.077,11.869,9.287,1.487,0.629
190,39.488,29.624,10.841,10.461,7.109,1.973,0.504
191,38.397,28.839,8.447,11.955,9.322,2.523,0.516
192,38.476,30.662,10.924,8.791,8.485,2.019,0.644
193,36.662,29.647,8.804,10.794,9.639,2.903,1.55
194,38.765,29.017,9.586,12.43,7.53,2.579,0.091
195,39.462,31.038,9.112,8.083,9.969,1.77,0.566
196,39.118,29.34,8.962,10.693,9.102,2.39,0.396
197,37.021,29.508,10.168,10.684,8.811,3.014,0.794
198,39.707,30.127,9.53,8.685,9.052,2.201,0.699
199,38.173,27.714,10.413,10.166,10.916,1.712,0.905
200,38.236,28.628,9.934,10.183,10.105,1.806,1.107
201,36.107,30.426,10.377,11.712,8.325,2.324,0.729
202,36.748,30.776,11.284,9.34,8.816,2.332,0.704
203,35.722,31.139,10.287,10.639,9.717,2.361,0.135
204,37.662,28.167,9.931,10.128,10.509,2.263,1.34
205,38.389,29.791,8.929,11.2,8.731,2.332,0.628
206,38.986,31.695,8.326,9.208,9.573,1.323,0.89
207,38.479,30.128,9.606,10.518,8.6,2.195,0.475
208,40.656,29.531,8.997,9.618,7.728,2.805,0.665
209,37.357,29.87,10.06,9.478,9.93,2.227,1.078
210,38.384,28.818,8.874,9.882,11.205,2.355,0.481
211,38.939,28.055,6.999,9.674,11.668,3.653,1.012
212,37.936,28.037,9.289,11.964,9.761,2.832,0.181
213,38.063,29.124,9.903,11.364,8.685,2.211,0.651
214,41.062,28.398,9.344,9.753,8.964,2.327,0.152
215,39.197,28.482,7.996,10.036,10.382,2.823,1.083
216,37.392,30.479,10.227,10.078,9.808,1.737,0.278
217,37.126,29.106,11.219,10.956,8.61,1.865,1.119
218,38.707,29.171,9.984,8.698,9.554,2.67,1.216
219,36.952,28.969,10.052,10.268,11.236,1.663,0.861
220,37.335,29.385,10.407,10.257,9.603,1.959,1.055
221,38.547,30.079,9.545,10.736,8.496,1.649,0.947
222,37.002,30.486,9.408,11.247,9.024,2.246,0.585
223,37.184,28.793,11.101,9.871,9.555,2.189,1.306
224,36.065,28.783,9.955,11.492,11.264,1.675,0.767
225,38.458,29.673,8.478,11.004,9.18,2.52,0.686
226,39.846,28.703,9.708,10.282,8.098,2.343,1.02
227,36.089,30.339,9.506,11.233,10.249,1.997,0.588
228,38.038,29.552,9.808,10.303,9.061,2.492,0.746
229,37.332,29.87,10.066,10.111,10.41,1.629,0.582
230,38.955,28.077,9.962,8.168,12.33,1.875,0.632
231,36.644,28.562,10.365,10.663,10.289,2.642,0.835
232,38.985,29.424,9.67,10.417,8.359,2.299,0.845
233,37.222,29.189,9.715,11.755,9.356,2.09,0.673
234,36.15,28.834,10.489,10.995,10.222,2.435,0.875
235,36.554,29.86,9.674,11.97,9.114,2.021,0.806
236,39.255,30.14,8.366,10.158,8.885,2.204,0.992
237,36.541,32.309,10.838,9.3,7.939,2.141,0.932
238,39.177,27.086,10.602,10.256,10.148,2.229,0.502
239,37.184,29.408,7.916,10.973,10.511,3.674,0.333
240,37.758,29.355,9.796,11.367,8.93,2.041,0.754
241,37.688,27.516,10.35,11.906,9.311,2.023,1.205
242,38.27,29.501,9.164,11.825,8.833,2.11,0.297
243,38.465,30.118,8.07,11.265,7.975,2.941,1.166
244,36.87,30.07,9.69,10.658,9.863,2.074,0.774
245,38.544,29.053,9.747,11.017,8.926,1.845,0.868
246,39.678,29.152,9.886,9.685,9.378,1.905,0.315
247,39.938,29.663,10.664,10.694,7.036,1.489,0.515
248,39.759,29.35,8.388,10.497,8.596,2.68,0.731
249,39.051,28.489,9.254,9.972,10.221,2.452,0.562
250,38.505,28.004,9.816,11.653,9.569,1.718,0.735
251,39.802,30.516,9.264,8.466,8.848,2.52,0.585
252,38.122,30.137,8.711,10.794,9.751,1.94,0.546
253,40.652,26.036,9.702,9.737,10.708,2.306,0.859
254,38.524,30.883,8.432,11.169,7.648,2.912,0.432
255,37.783,28.158,10.547,10.993,9.708,2.149,0.663
256,38.179,26.368,10.576,11.329,10.228,2.659,0.661
257,37.428,30.641,7.999,12.06,8.943,2.192,0.737
258,40.146,28.812,8.713,8.665,9.913,2.417,1.334
259,37.194,31.01,10.567,9.887,8.892,1.603,0.847
260,35.424,31.15,11.774,9.83,9.429,1.885,0.508
261,37.995,29.803,9.812,10.297,8.802,2.507,0.784
262,37.547,29.221,10.226,10.655,9.813,1.743,0.796
263,36.185,29.458,9.984,10.536,10.719,2.318,0.801
264,38.219,29.211,10.221,10.716,8.291,2.826,0.517
265,38.079,29.756,8.482,10.383,9.477,2.785,1.038
266,37.694,29.534,8.326,12.24,9.994,1.613,0.599
267,37.668,29.392,9.711,9.739,10.505,1.978,1.007
268,36.359,30.183,10.142,10.784,10.03,1.965,0.538
269,38.383,31.294,10.233,9.492,8.03,2.072,0.496
270,38.557,28.766,10.891,8.689,8.735,2.992,1.372
271,40.463,28.972,9.304,8.98,9.394,2.606,0.28
272,38.645,27.453,10.564,11.695,8.662,2.31,0.673
273,37.617,28.202,10.115,9.735,10.803,3.072,0.456
274,36.544,29.586,9.34,11.349,10.126,2.461,0.594
275,38.911,28.355,9.536,12.153,8.621,1.921,0.504
276,40.285,28.623,8.705,10.267,9.666,1.887,0.566
277,38.501,29.167,9.692,10.32,9.541,1.759,1.022
278,37.156,29.62,10.77,9.43,10.433,2.249,0.343
279,38.027,28.923,9.668,10.455,10.344,1.862,0.721
280,39.804,30.15,7.952,10.079,8.83,2.316,0.868
281,37.308,28.891,11.407,11.117,8.814,1.403,1.059
282,35.282,30.801,9.898,10.708,10.679,2.113,0.518
283,37.344,30.378,8.547,10.444,11.408,1.844,0.034
284,39.326,29.682,10.45,10.261,7.124,2.479,0.678
285,38.744,27.919,9.862,9.513,10.315,2.482,1.165
286,38.37,27.75,10.168,9.63,11.014,2.349,0.718
287,37.492,30.379,10.157,10.224,8.996,2.446,0.306
288,36.649,29.588,10.425,11.549,7.715,3.0,1.073
289,37.662,29.682,10.645,10.092,8.424,3.131,0.364
290,35.777,28.862,11.638,9.392,11.31,2.337,0.684
291,38.025,28.693,9.377,11.82,9.47,2.175,0.441
292,38.204,27.083,11.382,11.667,9.527,1.784,0.354
293,35.973,29.881,9.476,10.854,9.774,2.658,1.384
294,40.185,28.237,10.023,8.587,9.613,2.529,0.827
295,36.766,30.999,10.925,10.283,8.079,2.118,0.831
296,37.092,28.787,10.331,11.06,10.595,1.837,0.298
297,39.66,28.848,8.99,9.612,9.98,2.501,0.41
298,37.555,29.071,10.872,9.706,9.914,2.453,0.428
299,36.514,30.681,9.094,10.22,10.637,2.262,0.593
300,36.598,30.531,10.176,10.096,9.396,2.301,0.902
301,39.557,28.594,9.25,10.022,10.035,1.341,1.202
302,38.815,28.78,7.546,12.383,9.87,2.218,0.389
303,39.466,29.619,9.584,9.161,8.98,2.29,0.9
304,37.845,29.915,8.999,11.222,9.743,1.511,0.765
305,37.264,28.424,10.224,10.592,10.463,2.061,0.972
306,38.591,27.656,9.202,12.669,9.661,1.404,0.818
307,38.245,27.939,10.351,10.073,10.027,2.544,0.82
308,38.892,28.076,9.479,11.193,8.913,2.762,0.686
309,38.573,28.853,10.067,9.109,10.936,1.92,0.541
310,34.196,31.404,10.118,11.983,9.112,2.513,0.674
311,36.738,29.715,10.431,9.411,11.242,1.584,0.879
312,38.528,28.192,10.121,10.175,8.937,3.364,0.683
313,35.121,29.537,10.401,11.879,10.501,2.275,0.284
314,38.989,28.671,9.43,10.768,8.704,2.599,0.838
315,37.974,29.69,9.483,10.776,9.277,2.369,0.43
316,35.058,31.64,9.494,10.996,9.342,2.197,1.273
317,39.59,29.481,8.628,11.158,8.631,1.923,0.589
318,37.532,29.737,9.018,11.249,10.18,1.494,0.79
319,36.185,29.534,11.214,10.162,10.251,2.401,0.253
320,40.521,28.841,9.433,9.141,8.741,2.293,1.03
321,38.664,29.882,9.971,9.969,8.16,2.886,0.468
322,36.627,30.536,8.702,11.801,9.224,2.195,0.915
323,35.567,31.089,10.522,9.788,10.205,1.835,0.994
324,37.63,29.146,10.616,10.31,9.993,2.23,0.075
325,42.532,28.167,8.351,9.496,9.428,1.638,0.387
326,37.219,28.496,10.786,11.05,10.066,1.681,0.702
327,37.385,29.029,10.008,10.837,9.828,2.262,0.651
328,40.238,29.49,8.464,9.754,8.635,2.707,0.712
329,39.573,28.557,9.926,8.31,10.02,3.054,0.56
330,39.088,28.208,9.463,11.447,8.155,2.669,0.969
331,37.457,30.163,9.357,11.746,7.947,2.352,0.978
332,37.674,30.286,9.442,10.51,9.273,2.338,0.477
333,38.556,27.939,8.965,11.643,10.113,2.292,0.492
334,38.49,27.765,11.342,9.981,9.725,2.179,0.517
335,36.092,31.172,9.246,9.975,10.643,1.792,1.079
336,38.296,30.58,9.308,9.164,9.402,2.687,0.564
337,39.494,28.164,9.942,10.413,9.281,2.273,0.434
338,38.417,29.596,10.115,9.788,8.852,2.408,0.823
339,40.181,26.026,10.602,10.463,9.449,2.789,0.49
340,37.73,30.754,9.226,10.954,9.874,1.392,0.071
341,37.375,29.343,11.695,8.77,9.422,2.513,0.883
342,37.634,30.519,10.046,9.876,9.258,2.467,0.198
343,38.527,29.976,9.142,10.667,9.368,1.881,0.439
344,38.45,30.288,9.224,10.841,8.938,1.868,0.39
345,36.973,30.22,9.806,8.792,9.588,3.463,1.158
346,38.171,30.102,8.276,10.675,9.93,2.429,0.417
347,36.411,32.538,7.394,11.295,9.982,1.711,0.669
348,34.573,32.324,9.016,9.942,11.093,1.85,1.203
349,37.859,29.389,9.402,10.786,9.437,2.63,0.496
350,39.84,29.562,8.939,9.047,9.622,2.61,0.38
351,39.41,30.316,8.491,10.123,8.036,2.233,1.39
352,39.843,28.699,8.592,10.123,10.36,2.098,0.285
353,38.085,29.763,8.651,9.078,10.648,2.543,1.233
354,38.758,28.065,9.188,12.604,8.892,2.061,0.43
355,37.259,31.021,9.87,8.888,10.561,1.783,0.617
356,37.651,28.944,9.492,10.337,10.164,2.413,0.999
357,36.386,30.735,8.659,10.782,9.761,2.884,0.793
358,35.059,27.986,10.561,11.508,11.593,2.28,1.013
359,35.037,30.652,9.992,11.58,10.15,2.301,0.29
360,36.542,29.743,9.763,10.794,9.949,2.226,0.984
361,38.337,30.315,8.702,9.389,10.036,2.257,0.964
362,38.386,29.668,8.671,11.36,8.444,2.309,1.162
363,36.404,29.961,9.686,10.313,11.344,1.726,0.566
364,38.678,29.311,9.233,10.08,9.737,2.057,0.903
