okr_num,nazwa,pis,ko,psl,konf,lew,sym_nr
31,Katowice II,34.607,38.292,6.158,11.529,7.955,5
32,Katowice III,32.976,31.102,6.604,10.277,15.005,5
33,Kielce,49.732,18.502,12.175,9.436,7.037,5
34,Elbl¹g,36.285,30.523,13.712,9.122,8.124,5
35,Olsztyn,34.368,28.514,16.148,10.839,9.449,5
36,Kalisz,37.631,26.671,15.786,10.407,9.258,5
37,Konin,42.237,22.44,12.11,10.591,10.609,5
38,Pi³a,31.414,32.374,17.07,10.161,9.189,5
39,Poznañ,22.657,46.239,8.457,10.15,10.984,5
40,Koszalin,32.483,33.896,12.057,9.468,10.495,5
41,Szczecin,31.072,36.926,9.872,10.363,10.407,5
1,Legnica,36.669,27.956,8.026,9.065,13.048,6
2,Wa³brzych,34.334,35.028,8.388,8.319,9.801,6
3,Wroc³aw,29.853,35.857,7.768,11.023,12.161,6
4,Bydgoszcz,31.226,33.652,10.077,10.609,12.023,6
5,Toruñ,34.836,29.0,11.836,9.562,11.828,6
6,Lublin,48.494,20.691,9.84,10.929,6.291,6
7,Che³m,51.902,16.136,12.605,9.054,5.727,6
8,Zielona Góra,29.327,33.816,12.725,10.754,12.276,6
9,£ódŸ,28.473,38.109,5.654,9.894,15.758,6
10,Piotrków Trybunalski,48.994,17.362,11.191,10.308,8.696,6
11,Sieradz,42.99,23.071,11.073,9.096,9.589,6
12,Kraków I,46.429,24.68,8.898,10.619,6.693,6
13,Kraków II,34.336,32.327,8.404,12.183,10.181,6
14,Nowy S¹cz,57.545,15.412,7.867,10.505,4.69,6
15,Tarnów,51.957,15.839,14.074,10.671,4.616,6
16,P³ock,46.1,18.264,16.102,8.432,7.437,6
17,Radom,50.277,19.688,11.003,9.106,6.072,6
18,Siedlce,52.36,15.794,12.668,10.028,5.209,6
19,Warszawa I,23.972,43.955,6.127,11.386,14.06,6
20,Warszawa II,35.447,31.233,9.747,10.173,10.227,6
21,Opole,31.665,29.216,11.389,8.609,9.151,6
22,Krosno,55.157,17.286,8.559,10.36,4.973,6
23,Rzeszów,54.559,15.53,8.512,12.453,5.289,6
24,Bia³ystok,45.55,22.888,10.32,10.515,7.327,6
25,Gdañsk,27.385,43.403,7.329,10.775,10.446,6
26,S³upsk,31.226,38.131,9.23,10.868,9.87,6
27,Bielsko-Bia³a I,40.529,29.282,7.994,11.292,9.001,6
28,Czêstochowa,38.416,24.974,9.51,9.293,12.565,6
29,Katowice I,32.332,35.116,7.1,11.551,10.694,6
30,Bielsko-Bia³a II,41.456,29.962,6.825,10.733,7.666,6
31,Katowice II,33.21,39.438,5.529,11.199,9.254,6
32,Katowice III,31.653,32.016,5.905,9.987,17.393,6
33,Kielce,47.766,19.015,10.752,9.168,8.121,6
34,Elbl¹g,34.829,31.399,12.144,8.868,9.393,6
35,Olsztyn,32.985,29.33,14.249,10.526,10.958,6
36,Kalisz,36.118,27.432,13.943,10.111,10.723,6
37,Konin,40.552,23.071,10.697,10.287,12.248,6
38,Pi³a,30.144,33.317,15.074,9.863,10.636,6
39,Poznañ,21.754,47.638,7.564,9.853,12.782,6
40,Koszalin,31.17,34.892,10.699,9.199,12.178,6
41,Szczecin,29.821,38.027,8.806,10.07,12.069,6
1,Legnica,36.794,28.441,7.95,9.495,11.607,7
2,Wa³brzych,34.454,35.65,8.312,8.718,8.718,7
3,Wroc³aw,29.955,36.493,7.701,11.571,10.81,7
4,Bydgoszcz,31.334,34.254,9.982,11.127,10.693,7
5,Toruñ,34.956,29.512,11.722,10.028,10.527,7
6,Lublin,48.658,21.065,9.744,11.45,5.606,7
7,Che³m,52.078,16.422,12.481,9.484,5.128,7
8,Zielona Góra,29.429,34.422,12.603,11.283,10.907,7
9,£ódŸ,28.57,38.803,5.607,10.383,13.995,7
10,Piotrków Trybunalski,49.161,17.665,11.082,10.805,7.736,7
11,Sieradz,43.137,23.468,10.965,9.528,8.538,7
12,Kraków I,46.587,25.126,8.815,11.138,5.947,7
13,Kraków II,34.453,32.918,8.328,12.771,9.04,7
14,Nowy S¹cz,57.74,15.68,7.79,11.016,4.158,7
15,Tarnów,52.133,16.11,13.934,11.194,4.095,7
16,P³ock,46.256,18.591,15.943,8.818,6.669,7
17,Radom,50.448,20.02,10.896,9.539,5.421,7
18,Siedlce,52.537,16.065,12.543,10.506,4.643,7
19,Warszawa I,24.053,44.769,6.077,11.938,12.464,7
20,Warszawa II,35.569,31.787,9.657,10.661,9.079,7
21,Opole,31.776,29.734,11.281,9.028,8.121,7
22,Krosno,55.345,17.595,8.477,10.861,4.443,7
23,Rzeszów,54.744,15.809,8.43,13.06,4.711,7
24,Bia³ystok,45.705,23.296,10.222,11.027,6.53,7
25,Gdañsk,27.48,44.203,7.267,11.305,9.264,7
26,S³upsk,31.334,38.826,9.146,11.405,8.777,7
27,Bielsko-Bia³a I,40.667,29.809,7.919,11.838,7.994,7
28,Czêstochowa,38.547,25.413,9.419,9.739,11.197,7
29,Katowice I,32.444,35.748,7.037,12.116,9.52,7
30,Bielsko-Bia³a II,41.599,30.499,6.766,11.261,6.817,7
31,Katowice II,33.326,40.159,5.483,11.738,8.209,7
32,Katowice III,31.764,32.591,5.854,10.461,15.472,7
33,Kielce,47.93,19.338,10.648,9.606,7.249,7
34,Elbl¹g,34.95,31.95,12.03,9.284,8.372,7
35,Olsztyn,33.1,29.843,14.11,11.039,9.744,7
36,Kalisz,36.243,27.912,13.808,10.594,9.545,7
37,Konin,40.692,23.468,10.594,10.783,10.929,7
38,Pi³a,30.25,33.91,14.929,10.35,9.472,7
39,Poznañ,21.829,48.517,7.499,10.339,11.336,7
40,Koszalin,31.28,35.518,10.6,9.639,10.824,7
41,Szczecin,29.925,38.719,8.728,10.55,10.732,7
1,Legnica,36.596,27.74,8.288,9.914,11.082,8
2,Wa³brzych,34.265,34.75,8.654,9.105,8.324,8
3,Wroc³aw,29.793,35.573,8.005,12.104,10.318,8
4,Bydgoszcz,31.164,33.384,10.407,11.632,10.208,8
5,Toruñ,34.767,28.771,12.235,10.481,10.053,8
6,Lublin,48.399,20.524,10.173,11.955,5.357,8
7,Che³m,51.8,16.008,13.04,9.902,4.91,8
8,Zielona Góra,29.268,33.546,13.151,11.797,10.409,8
9,£ódŸ,28.416,37.799,5.82,10.859,13.353,8
10,Piotrków Trybunalski,48.898,17.227,11.574,11.289,7.387,8
11,Sieradz,42.905,22.894,11.45,9.949,8.156,8
12,Kraków I,46.337,24.48,9.188,11.644,5.675,8
13,Kraków II,34.268,32.064,8.67,13.343,8.625,8
14,Nowy S¹cz,57.433,15.293,8.136,11.514,3.964,8
15,Tarnów,51.855,15.718,14.563,11.703,3.905,8
16,P³ock,46.011,18.118,16.658,9.193,6.389,8
17,Radom,50.178,19.539,11.376,9.961,5.184,8
18,Siedlce,52.258,15.674,13.105,10.97,4.437,8
19,Warszawa I,23.925,43.591,6.301,12.475,11.884,8
20,Warszawa II,35.378,30.985,10.063,11.135,8.661,8
21,Opole,31.6,28.985,11.767,9.436,7.746,8
22,Krosno,55.048,17.148,8.847,11.348,4.251,8
23,Rzeszów,54.452,15.405,8.797,13.65,4.501,8
24,Bia³ystok,45.461,22.706,10.662,11.525,6.24,8
25,Gdañsk,27.33,43.045,7.545,11.821,8.834,8
26,S³upsk,31.164,37.821,9.52,11.927,8.379,8
27,Bielsko-Bia³a I,40.449,29.046,8.255,12.369,7.628,8
28,Czêstochowa,38.34,24.778,9.828,10.174,10.7,8
29,Katowice I,32.267,34.833,7.319,12.664,9.093,8
30,Bielsko-Bia³a II,41.374,29.722,7.032,11.774,6.508,8
31,Katowice II,33.143,39.116,5.689,12.263,7.828,8
32,Katowice III,31.59,31.759,6.083,10.923,14.773,8
33,Kielce,47.672,18.871,11.114,10.032,6.931,8
34,Elbl¹g,34.759,31.153,12.543,9.689,8.001,8
35,Olsztyn,32.918,29.101,14.732,11.537,9.303,8
36,Kalisz,36.045,27.218,14.412,11.065,9.116,8
37,Konin,40.471,22.894,11.056,11.265,10.449,8
38,Pi³a,30.084,33.052,15.582,10.824,9.048,8
39,Poznañ,21.711,47.245,7.792,10.812,10.809,8
40,Koszalin,31.108,34.612,11.044,10.067,10.331,8
41,Szczecin,29.761,37.718,9.077,11.017,10.245,8
1,Legnica,36.215,27.677,7.993,9.47,13.178,9
2,Wa³brzych,33.9,34.67,8.355,8.695,9.899,9
3,Wroc³aw,29.481,35.491,7.739,11.54,12.283,9
4,Bydgoszcz,30.836,33.306,10.036,11.098,12.143,9
5,Toruñ,34.404,28.705,11.787,10.001,11.945,9
6,Lublin,47.901,20.476,9.798,11.42,6.353,9
7,Che³m,51.264,15.97,12.551,9.459,5.781,9
8,Zielona Góra,28.959,33.467,12.672,11.252,12.4,9
9,£ódŸ,28.12,37.709,5.633,10.355,15.917,9
10,Piotrków Trybunalski,48.392,17.187,11.143,10.777,8.783,9
11,Sieradz,42.456,22.842,11.026,9.504,9.684,9
12,Kraków I,45.856,24.423,8.862,11.109,6.761,9
13,Kraków II,33.912,31.987,8.371,12.737,10.284,9
14,Nowy S¹cz,56.841,15.258,7.833,10.987,4.738,9
15,Tarnów,51.318,15.683,14.013,11.164,4.663,9
16,P³ock,45.539,18.076,16.033,8.796,7.507,9
17,Radom,49.657,19.496,10.956,9.515,6.131,9
18,Siedlce,51.72,15.639,12.613,10.478,5.26,9
19,Warszawa I,23.678,43.485,6.105,11.906,14.204,9
20,Warszawa II,35.009,30.914,9.708,10.633,10.331,9
21,Opole,31.261,28.918,11.342,9.004,9.244,9
22,Krosno,54.478,17.108,8.523,10.832,5.021,9
23,Rzeszów,53.891,15.369,8.476,13.025,5.342,9
24,Bia³ystok,44.993,22.654,10.278,10.998,7.399,9
25,Gdañsk,27.041,42.942,7.302,11.275,10.552,9
26,S³upsk,30.836,37.731,9.193,11.374,9.969,9
27,Bielsko-Bia³a I,40.028,28.978,7.962,11.807,9.092,9
28,Czêstochowa,37.941,24.721,9.471,9.714,12.688,9
29,Katowice I,31.927,34.752,7.072,12.083,10.8,9
30,Bielsko-Bia³a II,40.939,29.653,6.799,11.23,7.743,9
31,Katowice II,32.791,39.023,5.509,11.707,9.349,9
32,Katowice III,31.256,31.685,5.883,10.434,17.566,9
33,Kielce,47.175,18.829,10.707,9.581,8.2,9
34,Elbl¹g,34.392,31.081,12.094,9.26,9.485,9
35,Olsztyn,32.569,29.035,14.188,11.009,11.068,9
36,Kalisz,35.663,27.157,13.884,10.567,10.829,9
37,Konin,40.046,22.842,10.652,10.755,12.367,9
38,Pi³a,29.763,32.975,15.011,10.322,10.741,9
39,Poznañ,21.483,47.131,7.536,10.311,12.913,9
40,Koszalin,30.776,34.531,10.656,9.614,12.301,9
41,Szczecin,29.445,37.629,8.772,10.522,12.19,9
