okr_num,nazwa,pis,ko,psl,konf,lew,sym_nr
39,Poznañ,2,6,0,1,1,6
40,Koszalin,3,3,1,0,1,6
41,Szczecin,4,5,1,1,1,6
1,Legnica,5,4,1,1,1,7
2,Wa³brzych,3,4,0,0,1,7
3,Wroc³aw,5,6,1,1,1,7
4,Bydgoszcz,4,5,1,1,1,7
5,Toruñ,5,5,1,1,1,7
6,Lublin,8,3,1,2,1,7
7,Che³m,8,2,1,1,0,7
8,Zielona Góra,4,5,1,1,1,7
9,£ódŸ,3,5,0,1,1,7
10,Piotrków Trybunalski,5,2,1,1,0,7
11,Sieradz,6,3,1,1,1,7
12,Kraków I,5,2,0,1,0,7
13,Kraków II,5,5,1,2,1,7
14,Nowy S¹cz,7,2,0,1,0,7
15,Tarnów,6,1,1,1,0,7
16,P³ock,5,2,2,1,0,7
17,Radom,5,2,1,1,0,7
18,Siedlce,8,2,1,1,0,7
19,Warszawa I,5,10,1,2,2,7
20,Warszawa II,5,4,1,1,1,7
21,Opole,4,4,1,1,1,7
22,Krosno,7,2,1,1,0,7
23,Rzeszów,10,2,1,2,0,7
24,Bia³ystok,7,4,1,1,1,7
25,Gdañsk,3,6,1,1,1,7
26,S³upsk,5,6,1,1,1,7
27,Bielsko-Bia³a I,5,3,0,1,0,7
28,Czêstochowa,3,2,0,1,1,7
29,Katowice I,3,4,0,1,1,7
30,Bielsko-Bia³a II,5,3,0,1,0,7
31,Katowice II,4,6,0,1,1,7
32,Katowice III,3,4,0,1,1,7
33,Kielce,9,3,2,1,1,7
34,Elbl¹g,3,3,1,1,0,7
35,Olsztyn,4,3,1,1,1,7
36,Kalisz,5,4,1,1,1,7
37,Konin,4,2,1,1,1,7
38,Pi³a,3,3,1,1,1,7
39,Poznañ,2,6,0,1,1,7
40,Koszalin,3,3,1,0,1,7
41,Szczecin,4,5,1,1,1,7
1,Legnica,5,4,1,1,1,8
2,Wa³brzych,3,4,0,1,0,8
3,Wroc³aw,5,5,1,2,1,8
4,Bydgoszcz,4,5,1,1,1,8
5,Toruñ,5,4,2,1,1,8
6,Lublin,9,3,1,2,0,8
7,Che³m,7,2,2,1,0,8
8,Zielona Góra,4,5,1,1,1,8
9,£ódŸ,3,5,0,1,1,8
10,Piotrków Trybunalski,5,2,1,1,0,8
11,Sieradz,6,3,1,1,1,8
12,Kraków I,5,2,0,1,0,8
13,Kraków II,5,5,1,2,1,8
14,Nowy S¹cz,7,1,1,1,0,8
15,Tarnów,6,1,1,1,0,8
16,P³ock,5,2,2,1,0,8
17,Radom,5,2,1,1,0,8
18,Siedlce,7,2,2,1,0,8
19,Warszawa I,5,10,1,2,2,8
20,Warszawa II,5,4,1,1,1,8
21,Opole,4,4,1,1,1,8
22,Krosno,7,2,1,1,0,8
23,Rzeszów,10,2,1,2,0,8
24,Bia³ystok,7,3,1,2,1,8
25,Gdañsk,3,6,1,1,1,8
26,S³upsk,5,6,1,1,1,8
27,Bielsko-Bia³a I,4,3,1,1,0,8
28,Czêstochowa,3,2,0,1,1,8
29,Katowice I,3,4,0,1,1,8
30,Bielsko-Bia³a II,5,3,0,1,0,8
31,Katowice II,5,5,0,1,1,8
32,Katowice III,3,4,0,1,1,8
33,Kielce,9,3,2,1,1,8
34,Elbl¹g,3,3,1,1,0,8
35,Olsztyn,4,3,1,1,1,8
36,Kalisz,5,3,2,1,1,8
37,Konin,4,2,1,1,1,8
38,Pi³a,3,3,1,1,1,8
39,Poznañ,2,6,0,1,1,8
40,Koszalin,3,3,1,0,1,8
41,Szczecin,4,5,1,1,1,8
1,Legnica,5,4,1,1,1,9
2,Wa³brzych,3,3,0,1,1,9
3,Wroc³aw,4,6,1,1,2,9
4,Bydgoszcz,4,5,1,1,1,9
5,Toruñ,5,4,1,1,2,9
6,Lublin,8,3,1,2,1,9
7,Che³m,8,2,1,1,0,9
8,Zielona Góra,4,5,1,1,1,9
9,£ódŸ,3,4,0,1,2,9
10,Piotrków Trybunalski,5,1,1,1,1,9
11,Sieradz,6,3,1,1,1,9
12,Kraków I,5,2,0,1,0,9
13,Kraków II,5,5,1,2,1,9
14,Nowy S¹cz,7,1,1,1,0,9
15,Tarnów,6,1,1,1,0,9
16,P³ock,5,2,2,1,0,9
17,Radom,5,2,1,1,0,9
18,Siedlce,8,2,1,1,0,9
19,Warszawa I,5,9,1,2,3,9
20,Warszawa II,5,4,1,1,1,9
21,Opole,4,4,1,1,1,9
22,Krosno,7,2,1,1,0,9
23,Rzeszów,10,2,1,2,0,9
24,Bia³ystok,7,4,1,1,1,9
25,Gdañsk,3,6,1,1,1,9
26,S³upsk,5,6,1,1,1,9
27,Bielsko-Bia³a I,4,3,0,1,1,9
28,Czêstochowa,3,2,0,1,1,9
29,Katowice I,3,4,0,1,1,9
30,Bielsko-Bia³a II,5,3,0,1,0,9
31,Katowice II,5,5,0,1,1,9
32,Katowice III,3,3,0,1,2,9
33,Kielce,9,3,2,1,1,9
34,Elbl¹g,3,3,1,0,1,9
35,Olsztyn,4,3,1,1,1,9
36,Kalisz,5,3,2,1,1,9
37,Konin,4,2,1,1,1,9
38,Pi³a,3,3,1,1,1,9
39,Poznañ,2,6,0,1,1,9
40,Koszalin,3,3,1,0,1,9
41,Szczecin,4,5,1,1,1,9
